Date,Stock,Action,Shares,Price,Value,Cost
2014-03-07,AAPL,SELL,66299,9.6739501953125,641373.2239990234,641.3732239990235
2014-03-10,AAPL,BUY,66662,9.52935791015625,635246.0570068359,635.2460570068359
2014-03-11,AAPL,SELL,68003,9.370996475219728,637255.8733043672,637.2558733043672
2014-03-12,AAPL,BUY,809,9.52935791015625,7709.250549316406,7.7092505493164065
2014-03-13,AAPL,BUY,66789,9.52935791015625,636456.2854614258,636.4562854614258
2014-03-14,AAPL,SELL,66406,9.50870132446289,631434.8201522827,631.4348201522828
2014-03-17,AAPL,BUY,307,9.577555656433104,2940.309586524963,2.940309586524963
2014-03-18,AAPL,BUY,65417,9.653294563293455,631489.570446968,631.489570446968
2014-03-19,AAPL,BUY,366,9.522473335266112,3485.225240707397,3.485225240707397
2014-03-20,AAPL,SELL,65175,9.618866920471191,626909.6515417099,626.9096515417099
2014-03-21,AAPL,BUY,64710,9.563785552978516,618872.5631332397,618.8725631332397
2014-03-24,AAPL,SELL,65207,9.550016403198242,622727.9196033478,622.7279196033478
2014-03-25,AAPL,BUY,303,9.591328620910645,2906.1725721359253,2.9061725721359255
2014-03-26,AAPL,BUY,65356,9.453619003295898,617850.7235794067,617.8507235794068
2014-03-27,AAPL,SELL,65359,9.653294563293455,630929.6793622969,630.929679362297
2014-03-28,AAPL,BUY,64523,9.839200019836426,634854.7028799057,634.8547028799057
2014-03-31,AAPL,SELL,103,9.832317352294922,1012.728687286377,1.012728687286377
2014-04-01,AAPL,SELL,63734,9.852971076965332,627969.2586193085,627.9692586193084
2014-04-02,AAPL,BUY,63646,9.811659812927246,624472.9004535675,624.4729004535675
2014-04-03,AAPL,BUY,102,9.811659812927246,1000.7893009185791,1.000789300918579
2014-04-04,AAPL,SELL,112,9.866744041442873,1105.0753326416018,1.1050753326416018
2014-04-07,AAPL,BUY,281,9.77034854888916,2745.467942237854,2.745467942237854
2014-04-08,AAPL,SELL,63655,9.90117073059082,630259.0228557587,630.2590228557586
2014-04-09,AAPL,BUY,63433,9.846087455749512,624566.8655805588,624.5668655805588
2014-04-10,AAPL,SELL,220,9.93559741973877,2185.8314323425293,2.185831432342529
2014-04-11,AAPL,BUY,717,9.742803573608398,6985.590162277222,6.985590162277222
2014-04-14,AAPL,SELL,64258,9.852971076965332,633132.2154636383,633.1322154636383
2014-04-15,AAPL,BUY,63745,9.866744041442873,628955.5989217759,628.955598921776
2014-04-16,AAPL,SELL,9,9.880510330200195,88.92459297180176,0.08892459297180176
2014-04-17,AAPL,SELL,63863,9.8185453414917,627041.7611436844,627.0417611436844
2014-04-21,AAPL,SELL,127,9.735919952392578,1236.4618339538574,1.2364618339538573
2014-04-22,AAPL,SELL,169,9.735919952392578,1645.3704719543457,1.6453704719543458
2014-04-23,AAPL,BUY,361,9.832317352294922,3549.466564178467,3.549466564178467
2014-04-24,AAPL,BUY,63171,9.990679740905762,631121.2299127579,631.1212299127579
2014-04-25,AAPL,SELL,79,9.942479133605955,785.4558515548705,0.7854558515548705
2014-04-28,AAPL,SELL,62535,9.880510330200195,617877.7134990692,617.8777134990693
2014-04-29,AAPL,BUY,314,9.894330024719238,3106.819627761841,3.106819627761841
2014-04-30,AAPL,BUY,247,9.984155654907228,2466.0864467620854,2.4660864467620853
2014-05-01,AAPL,BUY,60885,10.177618980407717,619664.3316221238,619.6643316221239
2014-05-02,AAPL,BUY,477,9.901244163513184,4722.893465995789,4.722893465995789
2014-05-05,AAPL,SELL,60779,9.873602867126465,600107.7086610794,600.1077086610794
2014-05-06,AAPL,BUY,60625,9.804510116577148,594398.4258174896,594.3984258174896
2014-05-07,AAPL,SELL,60357,9.99797534942627,603447.7981653214,603.4477981653214
2014-05-08,AAPL,BUY,61442,9.728506088256836,597738.8710746765,597.7388710746766
2014-05-09,AAPL,SELL,60,9.700865745544434,582.051944732666,0.5820519447326661
2014-05-12,AAPL,SELL,62959,9.680139541625977,609451.9054012299,609.4519054012299
2014-05-13,AAPL,BUY,344,9.735413551330566,3348.982261657715,3.348982261657715
2014-05-14,AAPL,BUY,62107,9.797597885131836,608499.4118518829,608.499411851883
2014-05-15,AAPL,SELL,140,9.811416625976562,1373.5983276367188,1.3735983276367187
2014-05-19,AAPL,SELL,61980,9.67322826385498,599546.6877937317,599.5466877937317
2014-05-20,AAPL,SELL,196,9.555768013000488,1872.9305305480957,1.8729305305480957
2014-05-21,AAPL,SELL,739,9.38303279876709,6934.061238288879,6.934061238288879
2014-05-22,AAPL,SELL,86,9.452129364013672,812.8831253051758,0.8128831253051758
2014-05-23,AAPL,BUY,64429,9.403761863708496,605874.9731168747,605.8749731168747
2014-05-27,AAPL,SELL,64351,9.514309883117676,612255.3552885056,612.2553552885056
2014-05-28,AAPL,BUY,287,9.583409309387209,2750.438471794129,2.750438471794129
2014-05-29,AAPL,BUY,63389,9.645589828491213,611424.2936382295,611.4242936382295
2014-05-30,AAPL,SELL,479,9.742324829101562,4666.573593139648,4.666573593139648
2014-06-02,AAPL,BUY,167,9.742324829101562,1626.968246459961,1.626968246459961
2014-06-03,AAPL,SELL,253,9.804510116577148,2480.5410594940186,2.4805410594940187
2014-06-04,AAPL,BUY,677,9.652498245239258,6534.7413120269775,6.534741312026978
2014-06-05,AAPL,SELL,62389,9.866695404052734,615573.259563446,615.5732595634461
2014-06-06,AAPL,BUY,61326,9.99106502532959,612712.0537433624,612.7120537433624
2014-06-09,AAPL,SELL,11,9.942700386047363,109.369704246521,0.109369704246521
